id ,cid,subject,cname,budget,rating,website,description
1,0,Apple Mac Book air,Apple Mac Book air,"1,09,490",4.8,https://www.croma.com/apple-macbook-air-mgne3hn-a-m1-chip-macos-big-sur-laptop-8gb-ram-512gb-ssd-apple-m1-gpu-33-78cm-gold-/p/230956,"Apple MacBook Air (MGNE3HN/A) M1 Chip macOS Big Sur Laptop (8GB RAM, 512GB SSD, Apple M1 GPU, 33.78cm, Gold)"
2,0,Apple Mac Book air,Apple Mac Book air,113500,4.7,https://www.reliancedigital.in/apple-mgne3hna-macbook-air-apple-m1-chip-8gb-512gb-ssd-macos-big-sur-retina-33-78-cm-13-3-inch-/p/491946466,"Apple MGNE3HNA MacBook Air (Apple M1 Chip/8GB/512GB SSD/macOS Big Sur/Retina), 33.78 cm (13.3 inch)"
3,0,Apple Mac Book air,Apple Mac Book air,112594,5,https://www.tatacliq.com/apple-macbook-air-mgne3hn-a-m1-chip8-gb512-gb-ssd13-3-inchmac-osintegrated-graphicsgold/p-mp000000008247738,Apple MacBook Air MGNE3HN/A M1 chip|8 GB|512 GB SSD|13.3 inch|Mac OS|Integrated Graphics|Gold
4,1,Asus,Asus,78990,4.7,https://www.croma.com/asus-15-rogstx-ryzen-7-windows-10-home-laptop-8gb-ram-512gb-ssd-nvidia-geforce-gtx1650-+-4gb-graphics-39-62cm-90nr07p3-m02390-electro-punk-/p/245802,"Asus 15 ROGStx Ryzen 7 Windows 10 Home Laptop (8GB RAM, 512GB SSD, NVIDIA GeForce GTX1650 + 4GB Graphics, 39.62cm, 90NR07P3-M02390, Electro Punk)"
5,1,Asus,Asus,74999,4.8,https://www.reliancedigital.in/asus-k2066ts-rog-zephyrus-g14-gaming-laptop-amd-ryzen-7-4800hs-8gb-1tb-ssd-4gb-nvidia-geforce-gtx-1650-windows-10-mso-wqhd-35-56-cm-14-inch-/p/491997469,"Asus K2066TS ROG Zephyrus G14 Gaming Laptop (AMD Ryzen 7-4800HS/8GB/1TB SSD/4GB Nvidia GeForce GTX 1650/Windows 10/MSO/WQHD), 35.56 cm (14 inch)"
6,1,Asus,Asus,76715,4.5,https://www.tatacliq.com/asus-rog-strix-g15-gaming-laptop-g513ih-hn084ts-ryzen-7-4800h-8gb-512gbssd-15-6in-w10hmso-4gb-black/p-mp000000010542251,Asus ROG Strix G15 Gaming Laptop G513IH-HN084TS Ryzen 7 4800H 8GB 512GBSSD 15.6in W10H+MSO 4GB Black
7,2,Lenovo,Lenovo,50990,4.6,https://www.croma.com/lenovo-15-slim-3-7hin-ryzen-5-windows-11-laptop-8gb-ram-512gb-ssd-amd-radeon-graphics-ms-office-39-62cm-82ku017hin-arctic-grey-/p/246553,"Lenovo 15 Slim 3 7HIN Ryzen 5 Windows 11 Laptop (8GB RAM, 512GB SSD, AMD Radeon Graphics, MS Office, 39.62cm, 82KU017HIN, Arctic Grey)"
8,2,Lenovo,Lenovo,56990,4.8,https://www.reliancedigital.in/lenovo-k0in-ideapad-slim-5i-laptop-11th-gen-intel-core-i5-1135g7-8gb-512gb-ssd-intel-iris-xe-graphics-windows-10-mso-fhd-35-56-cm-14-inch-/p/491947203,"Lenovo K0IN IdeaPad Slim 5i Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)"
9,2,Lenovo,Lenovo,49715,4.6,https://www.tatacliq.com/lenovo-ideapad-3-laptop-82kt00msin-r5-5500u-8-gb-512-gb-ssd-14-inch-w11hmso-int-arctic-grey/p-mp000000011429436,Lenovo Ideapad 3 Laptop 82KT00MSIN R5 5500U 8 GB 512 GB SSD 14 inch W11H+MSO INT Arctic Grey
10,3,HP,HP,65990,4.7,https://www.croma.com/hp-pavilion-14-dv1002tu-11th-gen-core-i5-windows-10-home-laptop-16gb-ram-512gb-ssd-intel-iris-xe-graphics-ms-office-2019-35-6cm-50n48pa-silver-/p/244231,"HP Pavilion 14-dv1002TU 11th Gen Core i5 Windows 10 Home Laptop (16GB RAM, 512GB SSD, Intel Iris Xe Graphics, MS Office 2019, 35.6cm, 50N48PA, Silver)"
